ID,Income_us,Gender,Age,Employment,Education,F6_importance,F7_importance,F8_importance,F9_importance,F10_importance,F11_importance,F6_functional,F6_dysfunctional,F7_functional,F7_dysfunctional,F8_functional,F8_dysfunctional,F9_functional,F9_dysfunctional,F10_dysfunctional,F10_functional,F11_functional,F11_dysfunctional
ALL1-99,75000_to_99999,male,40,employed_full_time,university_undergraduate_degree,6,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I expect it,I dislike it
ALL1-100,35000_to_49999,female,24,employed_full_time,college_diploma,1 - Not at all important,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-101,25000_to_34999,female,32,homemaker,some_high_school_or_less,5 - Important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I like it,I expect it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-102,100000_to_149999,male,26,employed_full_time,masters_graduate_degree,4,7 - Very important,5 - Important,5 - Important,7 - Very important,7 - Very important,I like it,I dislike it,I can tolerate it,I can tolerate it,I expect it,I am neutral,I expect it,I can tolerate it,I dislike it,I like it,I expect it,I can tolerate it
ALL1-103,150000_to_249999,male,21,student_full_time,some_high_school_or_less,9 - Extremely important,7 - Very important,7 - Very important,8,9 - Extremely important,7 - Very important,I expect it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I am neutral
ALL1-104,100000_to_149999,male,32,employed_full_time,masters_graduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,5 - Important,9 - Extremely important,7 - Very important,I expect it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I am neutral,I dislike it,I like it,I expect it,I can tolerate it
ALL1-105,50000_to_74999,female,29,employed_full_time,college_diploma,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,I like it,I am neutral,I like it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I expect it,I dislike it
ALL1-106,35000_to_49999,female,30,homemaker,trade_or_vocational,3 - Somewhat important,6,6,5 - Important,6,6,I can tolerate it,I expect it,I expect it,I can tolerate it,I like it,I dislike it,I expect it,I can tolerate it,I dislike it,I expect it,I expect it,I dislike it
ALL1-107,35000_to_49999,female,20,self_employed,university_undergraduate_degree,5 - Important,6,6,6,5 - Important,5 - Important,I am neutral,I expect it,I expect it,I am neutral,I like it,I expect it,I like it,I am neutral,I like it,I am neutral,I like it,I am neutral
ALL1-108,prefer_not_to_answer,male,20,student_full_time,some_high_school_or_less,3 - Somewhat important,6,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-109,prefer_not_to_answer,female,19,student_part_time,high_school_or_equivalent,5 - Important,6,5 - Important,5 - Important,7 - Very important,5 - Important,I like it,I like it,I expect it,I can tolerate it,I expect it,I dislike it,I expect it,I can tolerate it,I dislike it,I am neutral,I expect it,I can tolerate it
ALL1-110,50000_to_74999,female,29,employed_full_time,university_undergraduate_degree,2,7 - Very important,7 - Very important,5 - Important,7 - Very important,7 - Very important,I am neutral,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-111,50000_to_74999,female,42,disability,some_high_school_or_less,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-112,35000_to_49999,male,19,self_employed,high_school_or_equivalent,1 - Not at all important,2,3 - Somewhat important,1 - Not at all important,2,4,I am neutral,I am neutral,I dislike it,I am neutral,I expect it,I expect it,I expect it,I am neutral,I expect it,I like it,I like it,I like it
ALL1-113,less_than_15,male,24,other,high_school_or_equivalent,6,7 - Very important,3 - Somewhat important,6,5 - Important,6,I like it,I am neutral,I like it,I can tolerate it,I am neutral,I am neutral,I expect it,I expect it,I am neutral,I dislike it,I like it,I dislike it
ALL1-115,75000_to_99999,male,41,employed_full_time,high_school_or_equivalent,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-116,less_than_15,female,19,self_employed,some_high_school_or_less,4,3 - Somewhat important,3 - Somewhat important,1 - Not at all important,3 - Somewhat important,2,I am neutral,I can tolerate it,I am neutral,I can tolerate it,I am neutral,I expect it,I am neutral,I can tolerate it,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-117,50000_to_74999,male,36,employed_full_time,university_undergraduate_degree,6,9 - Extremely important,6,7 - Very important,6,7 - Very important,I expect it,I expect it,I expect it,I expect it,I like it,I expect it,I expect it,I am neutral,I expect it,I expect it,I expect it,I expect it
ALL1-118,less_than_15,female,30,employed_full_time,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I can tolerate it,I dislike it,I expect it,I expect it,I can tolerate it
ALL1-119,50000_to_74999,male,20,employed_full_time,college_diploma,6,7 - Very important,6,5 - Important,9 - Extremely important,8,I can tolerate it,I expect it,I like it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I like it,I am neutral,I expect it,I am neutral
ALL1-120,less_than_15,male,21,student_full_time,high_school_or_equivalent,2,1 - Not at all important,5 - Important,7 - Very important,9 - Extremely important,7 - Very important,I expect it,I expect it,I like it,I can tolerate it,I like it,I am neutral,I like it,I expect it,I dislike it,I like it,I like it,I am neutral
ALL1-121,150000_to_249999,male,27,employed_full_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,8,8,8,7 - Very important,I am neutral,I expect it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I am neutral,I dislike it
ALL1-122,less_than_15,female,31,employed_part_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I can tolerate it
ALL1-123,25000_to_34999,female,31,temporarily-unemployed,university_undergraduate_degree,8,8,7 - Very important,8,7 - Very important,6,I like it,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-124,25000_to_34999,female,47,employed_full_time,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-125,50000_to_74999,female,29,employed_full_time,university_undergraduate_degree,4,9 - Extremely important,8,7 - Very important,9 - Extremely important,8,I am neutral,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I dislike it,I like it,I expect it,I can tolerate it
ALL1-127,less_than_15,male,29,temporarily-unemployed,college_diploma,5 - Important,7 - Very important,5 - Important,9 - Extremely important,5 - Important,9 - Extremely important,I dislike it,I like it,I like it,I dislike it,I expect it,I dislike it,I am neutral,I am neutral,I dislike it,I like it,I am neutral,I dislike it
ALL1-128,prefer_not_to_answer,female,33,disability,university_undergraduate_degree,2,5 - Important,5 - Important,4,9 - Extremely important,5 - Important,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-129,50000_to_74999,male,40,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,5 - Important,I am neutral,I expect it,I like it,I dislike it,I expect it,I dislike it,I like it,I am neutral,I dislike it,I like it,I like it,I am neutral
ALL1-130,less_than_15,female,20,temporarily-unemployed,high_school_or_equivalent,7 - Very important,6,6,5 - Important,6,5 - Important,I am neutral,I can tolerate it,I expect it,I am neutral,I can tolerate it,I expect it,I can tolerate it,I am neutral,I expect it,I am neutral,I am neutral,I am neutral
ALL1-131,35000_to_49999,male,32,employed_full_time,university_undergraduate_degree,8,9 - Extremely important,8,7 - Very important,9 - Extremely important,6,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-132,50000_to_74999,female,50,homemaker,some_high_school_or_less,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,I dislike it,I expect it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I expect it,I dislike it
ALL1-133,25000_to_34999,female,26,homemaker,some_high_school_or_less,3 - Somewhat important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I like it,I am neutral,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-134,35000_to_49999,male,32,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I can tolerate it,I can tolerate it,I like it,I dislike it,I like it,I am neutral,I like it,I am neutral,I dislike it,I am neutral,I like it,I can tolerate it
ALL1-135,less_than_15,female,34,homemaker,high_school_or_equivalent,5 - Important,5 - Important,6,6,7 - Very important,5 - Important,I like it,I like it,I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I dislike it,I can tolerate it
ALL1-136,25000_to_34999,female,20,temporarily-unemployed,high_school_or_equivalent,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I expect it,I can tolerate it,I expect it,I dislike it,I expect it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-137,50000_to_74999,female,43,employed_full_time,masters_graduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I expect it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-138,150000_to_249999,male,31,employed_full_time,high_school_or_equivalent,5 - Important,5 - Important,3 - Somewhat important,5 - Important,9 - Extremely important,5 - Important,I can tolerate it,I can tolerate it,I am neutral,I can tolerate it,I like it,I am neutral,I expect it,I can tolerate it,I am neutral,I can tolerate it,I can tolerate it,I am neutral
ALL1-139,25000_to_34999,female,22,employed_part_time,college_diploma,3 - Somewhat important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-140,15000_to_24999,female,27,self_employed,high_school_or_equivalent,7 - Very important,6,7 - Very important,6,9 - Extremely important,8,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-141,prefer_not_to_answer,female,20,homemaker,high_school_or_equivalent,7 - Very important,9 - Extremely important,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I expect it,I am neutral,I can tolerate it,I expect it,I dislike it,I expect it,I am neutral,I dislike it,I expect it,I expect it,I am neutral
ALL1-142,35000_to_49999,female,22,homemaker,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,6,7 - Very important,9 - Extremely important,I am neutral,I am neutral,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I can tolerate it
ALL1-143,150000_to_249999,female,34,employed_full_time,masters_graduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I am neutral,I dislike it,I like it,I like it,I am neutral
ALL1-144,15000_to_24999,female,22,employed_part_time,college_diploma,7 - Very important,9 - Extremely important,8,8,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I expect it,I can tolerate it,I expect it,I can tolerate it,I expect it,I dislike it,I dislike it,I expect it,I expect it,I dislike it
ALL1-145,50000_to_74999,female,20,student_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,I expect it,I can tolerate it,I am neutral,I expect it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-146,less_than_15,male,41,temporarily-unemployed,college_diploma,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,I am neutral,I am neutral,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I like it,I like it,I like it,I dislike it
ALL1-147,25000_to_34999,female,23,homemaker,high_school_or_equivalent,7 - Very important,6,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,I am neutral,I can tolerate it,I like it,I dislike it,I expect it,I dislike it,I expect it,I can tolerate it,I dislike it,I expect it,I like it,I dislike it
ALL1-148,prefer_not_to_answer,female,32,temporarily-unemployed,high_school_or_equivalent,3 - Somewhat important,8,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I expect it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I expect it,I dislike it
ALL1-149,prefer_not_to_answer,female,20,student_full_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I expect it,I dislike it
ALL1-150,50000_to_74999,male,43,employed_part_time,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I dislike it,I like it,I like it,I dislike it,I expect it,I expect it,I like it,I can tolerate it,I dislike it,I am neutral,I expect it,I am neutral
ALL1-151,75000_to_99999,male,21,employed_full_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,8,8,9 - Extremely important,I expect it,I am neutral,I like it,I dislike it,I like it,I am neutral,I expect it,I am neutral,I dislike it,I like it,I like it,I dislike it
ALL1-152,100000_to_149999,female,29,employed_full_time,university_undergraduate_degree,4,7 - Very important,7 - Very important,5 - Important,7 - Very important,6,I am neutral,I expect it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-153,35000_to_49999,female,40,homemaker,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I am neutral,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-154,prefer_not_to_answer,female,30,temporarily-unemployed,trade_or_vocational,4,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-155,35000_to_49999,male,42,employed_full_time,trade_or_vocational,3 - Somewhat important,7 - Very important,8,8,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I expect it,I can tolerate it,I expect it,I can tolerate it,I like it,I can tolerate it,I can tolerate it,I expect it,I expect it,I can tolerate it
ALL1-156,prefer_not_to_answer,male,24,student_full_time,college_diploma,9 - Extremely important,1 - Not at all important,4,2,5 - Important,5 - Important,I expect it,I like it,I like it,I like it,I like it,I like it,I like it,I am neutral,I expect it,I like it,I expect it,I like it
ALL1-157,100000_to_149999,female,44,employed_full_time,university_undergraduate_degree,2,7 - Very important,7 - Very important,3 - Somewhat important,7 - Very important,7 - Very important,I expect it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-158,15000_to_24999,female,23,employed_full_time,high_school_or_equivalent,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,5 - Important,6,I expect it,I expect it,I like it,I expect it,I expect it,I expect it,I like it,I am neutral,I expect it,I expect it,I like it,I expect it
ALL1-159,less_than_15,female,27,temporarily-unemployed,university_undergraduate_degree,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I expect it,I like it,I am neutral,I like it,I expect it,I like it,I expect it,I dislike it,I like it,I like it,I dislike it
ALL1-160,50000_to_74999,female,26,temporarily-unemployed,doctorate,7 - Very important,8,7 - Very important,6,7 - Very important,6,I like it,I expect it,I like it,I expect it,I expect it,I like it,I like it,I am neutral,I dislike it,I am neutral,I expect it,I expect it
ALL1-161,50000_to_74999,female,22,temporarily-unemployed,trade_or_vocational,5 - Important,7 - Very important,9 - Extremely important,7 - Very important,7 - Very important,7 - Very important,I expect it,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I can tolerate it
ALL1-162,15000_to_24999,female,40,self_employed,trade_or_vocational,2,6,1 - Not at all important,5 - Important,7 - Very important,5 - Important,I like it,I am neutral,I like it,I expect it,I like it,I can tolerate it,I like it,I can tolerate it,I am neutral,I like it,I expect it,I can tolerate it
ALL1-163,100000_to_149999,male,31,employed_full_time,masters_graduate_degree,5 - Important,5 - Important,2,5 - Important,5 - Important,4,I can tolerate it,I am neutral,I expect it,I am neutral,I expect it,I am neutral,I am neutral,I expect it,I expect it,I expect it,I dislike it,I like it
ALL1-164,prefer_not_to_answer,male,21,other,other,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,I like it,I like it,I like it,I expect it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it
ALL1-165,less_than_15,female,23,temporarily-unemployed,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,5 - Important,5 - Important,8,I am neutral,I like it,I expect it,I expect it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I expect it,I dislike it
ALL1-166,100000_to_149999,male,38,employed_full_time,trade_or_vocational,8,7 - Very important,7 - Very important,8,8,8,I expect it,I expect it,I like it,I like it,I expect it,I expect it,I like it,I am neutral,I dislike it,I like it,I expect it,I can tolerate it
ALL1-167,25000_to_34999,male,21,student_full_time,some_high_school_or_less,6,7 - Very important,7 - Very important,8,9 - Extremely important,6,I like it,I can tolerate it,I expect it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-168,prefer_not_to_answer,female,18,employed_part_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,7 - Very important,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-169,100000_to_149999,male,21,employed_full_time,masters_graduate_degree,5 - Important,7 - Very important,6,7 - Very important,7 - Very important,7 - Very important,I expect it,I expect it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I expect it,I am neutral
ALL1-170,less_than_15,male,20,employed_part_time,some_high_school_or_less,1 - Not at all important,5 - Important,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-171,prefer_not_to_answer,male,20,temporarily-unemployed,some_high_school_or_less,3 - Somewhat important,5 - Important,5 - Important,6,9 - Extremely important,7 - Very important,I am neutral,I expect it,I like it,I can tolerate it,I like it,I expect it,I expect it,I am neutral,I dislike it,I like it,I expect it,I can tolerate it
ALL1-172,25000_to_34999,female,30,employed_full_time,trade_or_vocational,7 - Very important,5 - Important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I am neutral,I am neutral,I like it,I dislike it,I expect it,I can tolerate it,I like it,I expect it,I dislike it,I expect it,I like it,I dislike it
ALL1-173,100000_to_149999,female,41,homemaker,university_undergraduate_degree,2,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,9 - Extremely important,I dislike it,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-174,25000_to_34999,female,27,employed_part_time,high_school_or_equivalent,4,1 - Not at all important,7 - Very important,5 - Important,5 - Important,4,I am neutral,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I dislike it,I expect it,I can tolerate it,I can tolerate it
ALL1-175,25000_to_34999,female,19,other,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I like it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I expect it,I dislike it,I like it,I expect it,I expect it
ALL1-176,50000_to_74999,male,25,student_full_time,college_diploma,2,5 - Important,4,5 - Important,3 - Somewhat important,5 - Important,I expect it,I am neutral,I expect it,I am neutral,I expect it,I can tolerate it,I expect it,I am neutral,I expect it,I am neutral,I expect it,I am neutral
ALL1-177,100000_to_149999,male,23,employed_full_time,high_school_or_equivalent,5 - Important,6,3 - Somewhat important,7 - Very important,3 - Somewhat important,3 - Somewhat important,I can tolerate it,I like it,I am neutral,I am neutral,I like it,I can tolerate it,I like it,I dislike it,I dislike it,I expect it,I like it,I like it
ALL1-178,100000_to_149999,female,42,employed_full_time,university_undergraduate_degree,5 - Important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I can tolerate it
ALL1-179,15000_to_24999,female,23,homemaker,high_school_or_equivalent,4,5 - Important,5 - Important,4,7 - Very important,7 - Very important,I am neutral,I expect it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I dislike it,I like it,I like it,I can tolerate it
ALL1-180,15000_to_24999,female,31,employed_full_time,high_school_or_equivalent,5 - Important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-181,100000_to_149999,male,40,employed_full_time,masters_graduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I like it,I dislike it,I like it,I am neutral,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-182,prefer_not_to_answer,female,24,student_part_time,high_school_or_equivalent,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-183,prefer_not_to_answer,female,21,student_full_time,some_high_school_or_less,9 - Extremely important,7 - Very important,8,7 - Very important,9 - Extremely important,5 - Important,I can tolerate it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I expect it,I can tolerate it
ALL1-184,35000_to_49999,female,35,employed_full_time,college_diploma,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-185,35000_to_49999,female,40,employed_part_time,other,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I like it,I like it,I like it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I like it
ALL1-186,150000_to_249999,male,39,student_full_time,masters_graduate_degree,3 - Somewhat important,2,3 - Somewhat important,1 - Not at all important,3 - Somewhat important,5 - Important,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I expect it,I expect it
ALL1-187,prefer_not_to_answer,female,22,student_full_time,some_high_school_or_less,9 - Extremely important,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I like it,I expect it,I dislike it,I like it,I like it,I can tolerate it
ALL1-188,50000_to_74999,male,38,self_employed,high_school_or_equivalent,5 - Important,7 - Very important,9 - Extremely important,5 - Important,9 - Extremely important,5 - Important,I like it,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I dislike it,I expect it,I expect it,I dislike it
ALL1-189,prefer_not_to_answer,female,22,student_full_time,some_high_school_or_less,2,5 - Important,7 - Very important,5 - Important,7 - Very important,7 - Very important,I can tolerate it,I expect it,I like it,I dislike it,I like it,I dislike it,I expect it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-190,less_than_15,female,26,homemaker,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,8,I expect it,I am neutral,I expect it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-191,100000_to_149999,male,24,student_part_time,masters_graduate_degree,4,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,I like it,I like it,I am neutral,I can tolerate it,I can tolerate it,I am neutral,I dislike it,I expect it,I can tolerate it,I like it,I can tolerate it,I expect it
ALL1-192,75000_to_99999,male,32,employed_full_time,college_diploma,6,7 - Very important,7 - Very important,6,7 - Very important,7 - Very important,I like it,I am neutral,I like it,I can tolerate it,I like it,I am neutral,I like it,I can tolerate it,I dislike it,I like it,I expect it,I dislike it
ALL1-193,50000_to_74999,female,23,employed_part_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,7 - Very important,7 - Very important,6,5 - Important,I expect it,I am neutral,I like it,I expect it,I like it,I like it,I expect it,I am neutral,I expect it,I expect it,I like it,I am neutral
ALL1-194,25000_to_34999,male,21,student_part_time,trade_or_vocational,6,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I like it,I can tolerate it,I like it,I can tolerate it,I expect it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-195,prefer_not_to_answer,female,21,temporarily-unemployed,high_school_or_equivalent,5 - Important,9 - Extremely important,5 - Important,5 - Important,5 - Important,5 - Important,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it
ALL1-196,35000_to_49999,male,25,employed_full_time,high_school_or_equivalent,9 - Extremely important,7 - Very important,8,7 - Very important,9 - Extremely important,9 - Extremely important,I like it,I am neutral,I like it,I like it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-198,25000_to_34999,male,29,employed_part_time,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I am neutral,I am neutral,I am neutral,I dislike it,I expect it,I can tolerate it,I dislike it,I dislike it,I dislike it,I like it,I like it,I dislike it
